User Input,Intent,Response
Hai,greeting,Halo! Ada yang bisa saya bantu terkait informasi gizi?
Halo,greeting,Halo! Ada yang bisa saya bantu terkait informasi gizi?
Selamat pagi,greeting,Selamat pagi! Siap membantu cek gizi hari ini.
Selamat siang,greeting,Selamat siang! Apakah Anda ingin cek gizi produk?
Selamat sore,greeting,Selamat sore! Mari cek informasi gizi Anda.
Selamat malam,greeting,Selamat malam! Ada produk yang ingin dicek gizinya?
Assalamualaikum,greeting,"Waalaikumsalam, halo! Apa yang ingin Anda tanyakan?"
Waalaikumsalam,greeting,Waalaikumsalam! Saya siap bantu cek gizi.
Apa kabar,greeting,"Saya baik, terima kasih. Siap bantu Anda soal gizi."
Pagi,greeting,"Pagi! Yuk, cek gizi makanan/minuman Anda."
Siang,greeting,Selamat siang! Ada yang ingin Anda tanyakan soal gizi?
Sore,greeting,Selamat sore! Sehat selalu ya.
Malam,greeting,Selamat malam! Mari hidup sehat bersama.
Halo bot,greeting,Halo! Saya siap memberikan info gizi.
Hai asisten,greeting,Hai! Ada produk yang ingin Anda cek gizinya?
Hai gizi bot,greeting,Hai! Saya bisa bantu cek gizi makanan/minuman Anda.
Halo gizi,greeting,Halo! Mari kita cek info gizi bersama.
Hai teman,greeting,"Hai, senang bisa bantu cek gizi Anda."
Selamat datang,greeting,Selamat datang di Asisten Gizi!
"Halo, apa kabar",greeting,"Saya baik, siap bantu Anda cek gizi."
"Hai, selamat pagi",greeting,"Selamat pagi, siap bantu hitung kalori."
"Halo, sehat?",greeting,"Saya sehat, semoga Anda juga sehat ya."
"Halo, gimana kabarnya",greeting,"Baik, terima kasih! Siap bantu soal gizi."
"Halo, apa bisa bantu saya",greeting,Tentu! Silakan tanyakan info gizi yang Anda butuhkan.
"Hai, boleh tanya",greeting,"Boleh, silakan tanyakan produk yang ingin dicek."
"Hai, saya mau info",greeting,"Siap, produk apa yang ingin dicek gizinya?"
"Halo, salam kenal",greeting,Salam kenal! Saya asisten gizi Anda.
Pagi asisten,greeting,"Selamat pagi, ada yang ingin dicek gizinya?"
Selamat siang bot,greeting,"Selamat siang, saya siap bantu Anda."
Hai teman sehat,greeting,"Hai, mari hidup sehat bersama."
"Halo, bisa cek gizi",greeting,"Bisa, produk apa yang ingin dicek?"
"Hai, selamat siang",greeting,"Selamat siang, saya siap bantu soal kalori."
Halo sahabat,greeting,"Halo sahabat sehat, mari cek gizi."
Selamat sore asisten,greeting,"Selamat sore, produk apa yang ingin Anda cek?"
"Halo, ada info gizi",greeting,"Ada, silakan sebutkan produk Anda."
"Hai, kabar baik?",greeting,Baik! Siap bantu Anda.
"Halo, saya ingin tahu",greeting,"Silakan, info gizi apa yang ingin ditanyakan?"
"Hai, boleh nanya?",greeting,"Tentu, silakan."
"Halo, gimana caranya cek gizi",greeting,"Tinggal sebutkan produk, saya bantu cek."
"Halo, saya butuh bantuan",greeting,"Tentu, saya bisa bantu soal gizi."
"Hai, ada info makanan sehat?",greeting,"Ada, saya bisa rekomendasikan."
"Halo, bisa hitung kalori?",greeting,"Bisa, sebutkan produk Anda."
"Halo, saya lapar",greeting,"Yuk, pilih makanan sehat."
"Hai, ada rekomendasi makanan?",greeting,"Ada, saya bisa rekomendasikan menu sehat."
"Hai, gimana cara cek kalori",greeting,"Sebutkan produk, saya bantu cek kalorinya."
"Halo, saya ingin coba bot ini",greeting,Silakan! Tanya soal gizi apapun.
"Hai, tolong cek gizi produk",greeting,"Tentu, produk apa yang dimaksud?"
"Halo, ada informasi kesehatan?",greeting,"Ada, saya siap berikan."
"Hai, bantu cek makanan ini",greeting,"Oke, sebutkan nama produk."
